2025-11-20 14:36:51,158 | PID=3871903 | idx=32 | STEP=zarr_file_1 | open=3.2ms | read=45.7ms
2025-11-20 14:36:51,158 | PID=3871907 | idx=44 | STEP=zarr_file_1 | open=3.2ms | read=45.8ms
2025-11-20 14:36:51,158 | PID=3871901 | idx=24 | STEP=zarr_file_1 | open=2.9ms | read=45.4ms
2025-11-20 14:36:51,188 | PID=3871894 | idx=4 | STEP=zarr_file_1 | open=5.1ms | read=68.5ms
2025-11-20 14:36:51,190 | PID=3871898 | idx=12 | STEP=zarr_file_1 | open=3.6ms | read=74.9ms
2025-11-20 14:36:51,193 | PID=3871899 | idx=16 | STEP=zarr_file_1 | open=5.2ms | read=62.4ms
2025-11-20 14:36:51,197 | PID=3871909 | idx=52 | STEP=zarr_file_1 | open=3.7ms | read=40.5ms
2025-11-20 14:36:51,199 | PID=3871904 | idx=36 | STEP=zarr_file_1 | open=4.6ms | read=67.7ms
2025-11-20 14:36:51,204 | PID=3871901 | idx=24 | STEP=zarr_file_2 | open=2.7ms | read=42.7ms
2025-11-20 14:36:51,204 | PID=3871911 | idx=60 | STEP=zarr_file_2 | open=3.9ms | read=42.3ms
2025-11-20 14:36:51,204 | PID=3871907 | idx=44 | STEP=zarr_file_2 | open=2.6ms | read=43.3ms
2025-11-20 14:36:51,204 | PID=3871900 | idx=20 | STEP=zarr_file_2 | open=3.8ms | read=42.9ms
2025-11-20 14:36:51,205 | PID=3871910 | idx=56 | STEP=zarr_file_2 | open=3.2ms | read=44.3ms
2025-11-20 14:36:51,205 | PID=3871903 | idx=32 | STEP=zarr_file_2 | open=3.1ms | read=43.8ms
2025-11-20 14:36:51,206 | PID=3871905 | idx=40 | STEP=zarr_file_2 | open=3.8ms | read=44.3ms
2025-11-20 14:36:51,207 | PID=3871895 | idx=8 | STEP=zarr_file_1 | open=5.5ms | read=69.5ms
2025-11-20 14:36:51,210 | PID=3871908 | idx=48 | STEP=zarr_file_2 | open=4.4ms | read=48.8ms
2025-11-20 14:36:51,211 | PID=3871902 | idx=28 | STEP=zarr_file_2 | open=4.0ms | read=49.6ms
2025-11-20 14:36:51,213 | PID=3871893 | idx=0 | STEP=zarr_file_1 | open=4.6ms | read=62.0ms
2025-11-20 14:36:51,242 | PID=3871909 | idx=52 | STEP=zarr_file_2 | open=3.3ms | read=41.6ms
2025-11-20 14:36:51,243 | PID=3871898 | idx=12 | STEP=zarr_file_2 | open=3.9ms | read=48.8ms
2025-11-20 14:36:51,243 | PID=3871894 | idx=4 | STEP=zarr_file_2 | open=4.0ms | read=50.6ms
2025-11-20 14:36:51,253 | PID=3871899 | idx=16 | STEP=zarr_file_2 | open=3.8ms | read=56.3ms
2025-11-20 14:36:51,263 | PID=3871904 | idx=36 | STEP=zarr_file_2 | open=6.0ms | read=57.2ms
2025-11-20 14:36:51,264 | PID=3871895 | idx=8 | STEP=zarr_file_2 | open=3.3ms | read=52.9ms
2025-11-20 14:36:51,272 | PID=3871893 | idx=0 | STEP=zarr_file_2 | open=4.2ms | read=53.9ms
2025-11-20 14:36:52,175 | PID=3871908 | idx=278256 | STEP=zarr_file_0 | open=4.8ms | read=40.7ms
2025-11-20 14:36:52,175 | PID=3871909 | idx=518045 | STEP=zarr_file_0 | open=3.2ms | read=40.1ms
2025-11-20 14:36:52,180 | PID=3871903 | idx=281415 | STEP=zarr_file_0 | open=7.6ms | read=43.0ms
2025-11-20 14:36:52,180 | PID=3871905 | idx=579901 | STEP=zarr_file_0 | open=7.7ms | read=42.9ms
2025-11-20 14:36:52,180 | PID=3871902 | idx=376915 | STEP=zarr_file_0 | open=5.5ms | read=45.1ms
2025-11-20 14:36:52,180 | PID=3871910 | idx=346842 | STEP=zarr_file_0 | open=4.2ms | read=46.6ms
